unique	code	codeStem	hostSpecies	size	time	compositeSample	trait	trait.val
ACPA114	ACPA	ACPA1	acpa	large	0	FALSE	waterperc	36.35
ACPA34	ACPA	ACPA3	acpa	large	0	FALSE	waterperc	38.6825681270469
ACPA37	ACPA	ACPA3	acpa	large	0	FALSE	waterperc	39.1527080314111
ACPA115	ACPA	ACPA1	acpa	large	0	FALSE	waterperc	36.2078327563972
ACPA15	ACPA	ACPA1	acpa	large	0	FALSE	waterperc	36.0443774825366
ACPA17	ACPA	ACPA1	acpa	large	0	FALSE	waterperc	36.3646756216062
ACPA45	ACPA	ACPA4	acpa	large	0	FALSE	waterperc	35.5957201469524
ACPA11	ACPA	ACPA1	acpa	large	0	FALSE	waterperc	33.3815460201575
ACPA112	ACPA	ACPA1	acpa	large	0	FALSE	waterperc	36.3950233281493
ACPA414	ACPA	ACPA4	acpa	large	0	FALSE	waterperc	38.707283894637
ACPA44	ACPA	ACPA4	acpa	large	0	FALSE	waterperc	35.3806085000592
ACPA413	ACPA	ACPA4	acpa	large	0	FALSE	waterperc	38.6993956453349
ACPA32	ACPA	ACPA3	acpa	large	0	FALSE	waterperc	38.0820758005877
ACPA416	ACPA	ACPA4	acpa	large	0	FALSE	waterperc	39.528876045361
ACPA43	ACPA	ACPA4	acpa	large	0	FALSE	waterperc	35.6077782816293
ACPA38	ACPA	ACPA3	acpa	large	0	FALSE	waterperc	39.0922707165
ACPA47	ACPA	ACPA4	acpa	large	0	FALSE	waterperc	38.1062907464928
ALLI18	ALLI	ALLI1	alli	large	0	FALSE	waterperc	43.8575420363743
ALLI39	ALLI	ALLI3	alli	large	0	FALSE	waterperc	42.4086550557714
ALLI210	ALLI	ALLI2	alli	large	0	FALSE	waterperc	46.2181017073618
ALLI110	ALLI	ALLI1	alli	large	0	FALSE	waterperc	43.6587020033389
ALLI35	ALLI	ALLI3	alli	large	0	FALSE	waterperc	42.3178585159554
ALLI36	ALLI	ALLI3	alli	large	0	FALSE	waterperc	42.5409577819786
ALLI310	ALLI	ALLI3	alli	large	0	FALSE	waterperc	42.3002873964117
ALLI314	ALLI	ALLI3	alli	large	0	FALSE	waterperc	42.0939000418909
ALLI25	ALLI	ALLI2	alli	large	0	FALSE	waterperc	46.9661892968666
ALLI13	ALLI	ALLI1	alli	large	0	FALSE	waterperc	44.2516545053453
ALLI215	ALLI	ALLI2	alli	large	0	FALSE	waterperc	47.7680168541559
ALLI26	ALLI	ALLI2	alli	large	0	FALSE	waterperc	46.9393931057251
ALLI29	ALLI	ALLI2	alli	large	0	FALSE	waterperc	46.9268441995715
ALLI12	ALLI	ALLI1	alli	large	0	FALSE	waterperc	43.7579699056363
ALLI28	ALLI	ALLI2	alli	large	0	FALSE	waterperc	47.493670886076
ALLI32	ALLI	ALLI3	alli	large	0	FALSE	waterperc	40.8893437083663
ANBA22	ANBA	ANBA2	anba	large	0	FALSE	waterperc	65.0703559181743
ANBA28	ANBA	ANBA2	anba	large	0	FALSE	waterperc	64.9802049371216
ANBA21	ANBA	ANBA2	anba	large	0	FALSE	waterperc	63.4013125103838
ANBA13	ANBA	ANBA1	anba	large	0	FALSE	waterperc	64.2678858272581
ANBA37	ANBA	ANBA3	anba	large	0	FALSE	waterperc	61.6127998422207
ANBA214	ANBA	ANBA2	anba	large	0	FALSE	waterperc	64.9933275767329
ANBA312	ANBA	ANBA3	anba	large	0	FALSE	waterperc	63.5160276939031
ANBA313	ANBA	ANBA3	anba	large	0	FALSE	waterperc	61.7955178358308
ANBA18	ANBA	ANBA1	anba	large	0	FALSE	waterperc	64.1853251914316
ANBA110	ANBA	ANBA1	anba	large	0	FALSE	waterperc	63.6675870428985
ANBA115	ANBA	ANBA1	anba	large	0	FALSE	waterperc	64.929134536682
ANBA35	ANBA	ANBA3	anba	large	0	FALSE	waterperc	62.531615366261
ANBA36	ANBA	ANBA3	anba	large	0	FALSE	waterperc	62.1139881170689
ANBA212	ANBA	ANBA2	anba	large	0	FALSE	waterperc	64.5761792879089
ANBA32	ANBA	ANBA3	anba	large	0	FALSE	waterperc	61.9395636856962
ANBA34	ANBA	ANBA3	anba	large	0	FALSE	waterperc	62.241627572112
ANBA314	ANBA	ANBA3	anba	large	0	FALSE	waterperc	64.272043441492
BAAE34	BAAE	BAAE3	baae	large	0	FALSE	waterperc	56.9788781163435
BAAE18	BAAE	BAAE1	baae	large	0	FALSE	waterperc	60.3067246801361
BAAE29	BAAE	BAAE2	baae	large	0	FALSE	waterperc	60.2210545388657
BAAE112	BAAE	BAAE1	baae	large	0	FALSE	waterperc	60.2938793150019
BAAE313	BAAE	BAAE3	baae	large	0	FALSE	waterperc	56.8535869905733
BAAE113	BAAE	BAAE1	baae	large	0	FALSE	waterperc	60.5255353223797
BAAE21	BAAE	BAAE2	baae	large	0	FALSE	waterperc	59.7870325338521
BAAE24	BAAE	BAAE2	baae	large	0	FALSE	waterperc	59.3602982513241
BAAE14	BAAE	BAAE1	baae	large	0	FALSE	waterperc	62.4774411550129
BAAE210	BAAE	BAAE2	baae	large	0	FALSE	waterperc	60.1865607186042
BAAE11	BAAE	BAAE1	baae	large	0	FALSE	waterperc	60.0626994345855
BAAE17	BAAE	BAAE1	baae	large	0	FALSE	waterperc	60.8326812996747
BAAE310	BAAE	BAAE3	baae	large	0	FALSE	waterperc	57.160773072358
BAAE213	BAAE	BAAE2	baae	large	0	FALSE	waterperc	60.7016070542429
BAAE22	BAAE	BAAE2	baae	large	0	FALSE	waterperc	68.1791446096967
EUSC212	EUSC	EUSC2	eusc	large	0	FALSE	waterperc	56.9564533878321
EUSC24	EUSC	EUSC2	eusc	large	0	FALSE	waterperc	56.0542398777693
EUSC17	EUSC	EUSC1	eusc	large	0	FALSE	waterperc	56.5189821069174
EUSC33	EUSC	EUSC3	eusc	large	0	FALSE	waterperc	57.2261531757724
EUSC117	EUSC	EUSC1	eusc	large	0	FALSE	waterperc	57.4373135977024
EUSC18	EUSC	EUSC1	eusc	large	0	FALSE	waterperc	57.9405952452243
EUSC118	EUSC	EUSC1	eusc	large	0	FALSE	waterperc	57.537476840155
EUSC215	EUSC	EUSC2	eusc	large	0	FALSE	waterperc	57.6827325234017
EUSC214	EUSC	EUSC2	eusc	large	0	FALSE	waterperc	57.9629434121622
EUSC37	EUSC	EUSC3	eusc	large	0	FALSE	waterperc	58.8514601292005
EUSC12	EUSC	EUSC1	eusc	large	0	FALSE	waterperc	59.0673062657633
EUSC27	EUSC	EUSC2	eusc	large	0	FALSE	waterperc	55.4500253074106
EUSC313	EUSC	EUSC3	eusc	large	0	FALSE	waterperc	57.8922439313203
EUSC315	EUSC	EUSC3	eusc	large	0	FALSE	waterperc	57.5116955773837
EUSC26	EUSC	EUSC2	eusc	large	0	FALSE	waterperc	54.9763320791358
EUSC23	EUSC	EUSC2	eusc	large	0	FALSE	waterperc	55.3099526066351
EUSC115	EUSC	EUSC1	eusc	large	0	FALSE	waterperc	56.1785119678263
EUSC14	EUSC	EUSC1	eusc	large	0	FALSE	waterperc	57.8263638293356
EUSC211	EUSC	EUSC2	eusc	large	0	FALSE	waterperc	55.2698912562122
EUSC316	EUSC	EUSC3	eusc	large	0	FALSE	waterperc	57.3217185436996
EUTE114	EUTE	EUTE1	eute	large	0	FALSE	waterperc	49.5589010883636
EUTE111	EUTE	EUTE1	eute	large	0	FALSE	waterperc	48.8194063115734
EUTE315	EUTE	EUTE3	eute	large	0	FALSE	waterperc	47.5675122749591
EUTE38	EUTE	EUTE3	eute	large	0	FALSE	waterperc	47.190667821303
EUTE24	EUTE	EUTE2	eute	large	0	FALSE	waterperc	50.1937778721597
EUTE12	EUTE	EUTE1	eute	large	0	FALSE	waterperc	49.7155684019557
EUTE319	EUTE	EUTE3	eute	large	0	FALSE	waterperc	46.8797881396009
EUTE39	EUTE	EUTE3	eute	large	0	FALSE	waterperc	47.2862974324292
EUTE21	EUTE	EUTE2	eute	large	0	FALSE	waterperc	49.9002630742101
EUTE112	EUTE	EUTE1	eute	large	0	FALSE	waterperc	50.4015609484155
EUTE26	EUTE	EUTE2	eute	large	0	FALSE	waterperc	49.1748663515922
EUTE36	EUTE	EUTE3	eute	large	0	FALSE	waterperc	46.3445254694553
EXCU210	EXCU	EXCU2	excu	large	0	FALSE	waterperc	46.6418532303761
EXCU26	EXCU	EXCU2	excu	large	0	FALSE	waterperc	47.8901619913078
EXCU22	EXCU	EXCU2	excu	large	0	FALSE	waterperc	44.6216371427309
EXCU36	EXCU	EXCU3	excu	large	0	FALSE	waterperc	47.777401894452
JASC39	JASC	JASC3	jasc	large	0	FALSE	waterperc	39.9063705953059
JASC118	JASC	JASC1	jasc	large	0	FALSE	waterperc	44.5449479144339
JASC110	JASC	JASC1	jasc	large	0	FALSE	waterperc	44.3739668627225
JASC217	JASC	JASC2	jasc	large	0	FALSE	waterperc	43.3913239945775
JASC11	JASC	JASC1	jasc	large	0	FALSE	waterperc	42.7621969773811
JASC32	JASC	JASC3	jasc	large	0	FALSE	waterperc	39.1821804880712
JASC310	JASC	JASC3	jasc	large	0	FALSE	waterperc	39.4109763671428
JASC315	JASC	JASC3	jasc	large	0	FALSE	waterperc	38.3649499671599
JASC214	JASC	JASC2	jasc	large	0	FALSE	waterperc	43.4971968679053
JASC112	JASC	JASC1	jasc	large	0	FALSE	waterperc	44.0793178344461
JASC27	JASC	JASC2	jasc	large	0	FALSE	waterperc	43.9664894473981
JASC312	JASC	JASC3	jasc	large	0	FALSE	waterperc	39.1795671118354
JASC119	JASC	JASC1	jasc	large	0	FALSE	waterperc	44.8995223934397
JASC218	JASC	JASC2	jasc	large	0	FALSE	waterperc	43.0589680589681
JASC313	JASC	JASC3	jasc	large	0	FALSE	waterperc	39.3436645396536
JASC16	JASC	JASC1	jasc	large	0	FALSE	waterperc	45.0337279735683
JASC14	JASC	JASC1	jasc	large	0	FALSE	waterperc	44.0376051459673
JASC31	JASC	JASC3	jasc	large	0	FALSE	waterperc	39.3867426641334
JASC15	JASC	JASC1	jasc	large	0	FALSE	waterperc	44.217161970925
