unique,code,species,size,time,pmr,codeStem
ACPA41,ACPA,acpa,large,0,1,ACPA4
ACPA110,ACPA,acpa,large,0,1,ACPA1
ACPA18,ACPA,acpa,large,0,1,ACPA1
ACPA12,ACPA,acpa,large,0,1,ACPA1
ACPA412,ACPA,acpa,large,0,1,ACPA4
ACPA311,ACPA,acpa,large,0,1,ACPA3
ACPA415,ACPA,acpa,large,0,1,ACPA4
ACPA42,ACPA,acpa,large,0,1,ACPA4
ACPA31,ACPA,acpa,large,0,1,ACPA3
ACPA36,ACPA,acpa,large,0,1,ACPA3
ACPA13,ACPA,acpa,large,0,1,ACPA1
ACPA410,ACPA,acpa,large,0,1,ACPA4
ACPA411,ACPA,acpa,large,0,1,ACPA4
ACPA315,ACPA,acpa,large,0,1,ACPA3
ACPA39,ACPA,acpa,large,0,1,ACPA3
ACPA310,ACPA,acpa,large,0,1,ACPA3
ACPA16,ACPA,acpa,large,0,1,ACPA1
ACPA33,ACPA,acpa,large,0,1,ACPA3
ACPA46,ACPA,acpa,large,0,1,ACPA4
ACPA314,ACPA,acpa,large,0,1,ACPA3
ACPA116,ACPA,acpa,large,0,1,ACPA1
ACPA19,ACPA,acpa,large,0,1,ACPA1
ACPA35,ACPA,acpa,large,0,1,ACPA3
ACPA313,ACPA,acpa,large,0,1,ACPA3
ACPA114,ACPA,acpa,large,0,1,ACPA1
ACPA48,ACPA,acpa,large,0,1,ACPA4
ACPA113,ACPA,acpa,large,0,1,ACPA1
ACPA49,ACPA,acpa,large,0,1,ACPA4
ACPA111,ACPA,acpa,large,0,1,ACPA1
ACPA312,ACPA,acpa,large,0,1,ACPA3
ACPA34,ACPA,acpa,large,0,1,ACPA3
ACPA37,ACPA,acpa,large,0,1,ACPA3
ACPA14,ACPA,acpa,large,0,1,ACPA1
ACPA115,ACPA,acpa,large,0,1,ACPA1
ACPA15,ACPA,acpa,large,0,1,ACPA1
ACPA17,ACPA,acpa,large,0,1,ACPA1
ACPA45,ACPA,acpa,large,0,1,ACPA4
ACPA11,ACPA,acpa,large,0,1,ACPA1
ACPA112,ACPA,acpa,large,0,1,ACPA1
ACPA414,ACPA,acpa,large,0,1,ACPA4
ACPA44,ACPA,acpa,large,0,1,ACPA4
ACPA413,ACPA,acpa,large,0,1,ACPA4
ACPA32,ACPA,acpa,large,0,1,ACPA3
ACPA416,ACPA,acpa,large,0,1,ACPA4
ACPA43,ACPA,acpa,large,0,1,ACPA4
ACPA38,ACPA,acpa,large,0,1,ACPA3
ACPA47,ACPA,acpa,large,0,1,ACPA4
ALLI111,ALLI,alli,large,0,1,ALLI1
ALLI316,ALLI,alli,large,0,1,ALLI3
ALLI315,ALLI,alli,large,0,1,ALLI3
ALLI19,ALLI,alli,large,0,1,ALLI1
ALLI212,ALLI,alli,large,0,1,ALLI2
ALLI11,ALLI,alli,large,0,1,ALLI1
ALLI23,ALLI,alli,large,0,1,ALLI2
ALLI214,ALLI,alli,large,0,1,ALLI2
ALLI24,ALLI,alli,large,0,1,ALLI2
ALLI22,ALLI,alli,large,0,1,ALLI2
ALLI313,ALLI,alli,large,0,1,ALLI3
